2929 1217 1
3639 1274 1
3912 1894 5
1032 3901 2
1242 3274 0
177 2762 0
40 3538 0
3911 2015 5
3900 2547 3
3090 572 1
69 3395 0
3802 56 1
1997 3033 0
4 2710 0
3874 134 1
3901 2236 3
3900 2442 3
3429 1246 1
3339 418 1
759 3596 0
2703 586 1
31 3062 0
3406 613 1
2997 309 1
2657 43 1
3466 328 1
3806 1641 1
2660 1906 1
228 2884 0
3210 1412 1
81 3900 2
3126 1583 1
83 2766 0
143 3205 0
3161 628 1
1349 2785 0
358 3589 0
3104 168 1
989 3848 0
2924 344 1
83 3574 0
3627 1023 1
1395 2777 0
3912 1771 5
3912 998 5
907 3459 0
2634 147 1
258 2898 0
1158 2757 0
661 3575 0
1150 3481 0
2747 2575 1
2890 967 1
2477 3903 6
30 3186 0
2653 1100 1
2841 241 1
3636 444 1
743 3901 2
1151 3552 0
1173 3783 0
3153 122 1
1334 3499 0
3248 1060 1
442 3764 0
1765 2972 0
2910 753 1
168 2783 0
3291 1946 1
3179 272 1
2971 512 1
2715 441 1
3100 31 1
2113 3905 6
2830 512 1
3911 1637 5
2006 3069 0
3130 598 1
1918 3158 0
1069 3730 0
824 2732 0
641 3852 0
859 2940 0
2206 3912 4
626 3901 2
339 3127 0
3832 396 1
1358 2782 0
3500 172 1
3552 535 1
533 3053 0
3643 1095 1
3429 276 1
3496 1354 1
1082 3241 0
16 3060 0
3901 303 3
3570 1177 1
4 2738 0
3905 393 7
1207 3062 0
257 2706 0
1982 3911 4
2953 335 1
3210 1383 1
3174 746 1
3110 630 1
130 3363 0
2939 220 1
3902 113 7
3438 515 1
691 3901 2
1164 2716 0
1227 3197 0
2117 3429 0
3900 2387 3
3900 1896 3
905 3481 0
2618 92 1
482 3911 4
3234 1296 1
3375 199 1
3251 144 1
2714 517 1
90 2773 0
3592 143 1
672 2862 0
3401 145 1
1738 3900 2
2685 692 1
173 3902 6
3912 2030 5
210 2875 0
2660 462 1
2044 3912 4
3878 150 1
806 2891 0
935 2806 0
723 2729 0
3114 1150 1
3698 739 1
2967 935 1
3463 1065 1
260 3158 0
220 3430 0
2919 2503 1
3900 1273 3
392 2715 0
3911 1071 5
2825 2118 1
281 2655 0
3335 718 1
2839 224 1
482 3902 6
673 2769 0
175 3912 4
2940 654 1
2702 987 1
2941 349 1
649 3901 2
3900 2146 3
605 3819 0
2821 100 1
2419 2688 0
462 3312 0
553 2735 0
171 3911 4
1753 2910 0
3335 1319 1
3579 267 1
2018 2648 0
3118 1110 1
3300 1907 1
3788 100 1
1873 3912 4
3877 462 1
2675 275 1
1238 3900 2
271 2951 0
3274 216 1
2798 1641 1
38 2899 0
3911 354 5
3874 801 1
2203 3286 0
914 3634 0
489 3484 0
3070 60 1
