29770 18060 5
28857 19062 3
31585 28737 5
29293 26880 5
23636 29961 4
15250 30277 4
17901 28935 4
29076 19226 5
29620 18494 5
15627 30495 4
29323 16145 5
23298 29698 4
29012 20085 5
29795 17300 5
28862 23111 3
17298 28894 4
28866 24847 3
28868 28411 3
5654 28764 1
28857 18594 3
28889 25468 5
27619 29355 4
14901 28924 4
31210 17258 5
29789 20916 5
29408 25737 5
21600 29191 4
29788 24861 5
28857 17878 3
32506 18886 5
28866 24632 3
28963 24614 5
16670 28923 4
26949 1945 0
21123 1902 0
582 22940 1
16761 28889 4
29471 18819 5
28834 30163 4
29785 16801 5
31856 22547 5
9096 23433 1
2329 20206 1
20974 29390 4
28095 32556 4
24149 6538 0
16287 29390 4
29302 25223 5
29538 25006 5
30130 16740 5
18162 29215 4
28005 28930 4
29438 27943 5
5762 23539 1
30361 15676 5
17833 29544 4
22392 29705 4
29697 27343 5
27391 29224 4
32478 15565 5
25073 29407 4
29499 18163 5
22596 29191 4
19183 11539 0
24523 36197 4
17266 30451 4
29089 16278 5
20738 4838 0
1308 22225 1
28972 19486 5
29646 27450 5
26600 28919 4
28922 28001 5
19464 2914 0
23354 30862 4
28930 26571 5
30031 14968 5
28877 19820 5
26430 28967 4
8230 16696 1
22921 28861 2
29410 17354 5
23535 35580 4
29353 18662 5
28864 23738 3
15197 29574 4
21503 34863 4
36624 25737 5
21917 28879 4
28906 26508 5
28889 16697 5
28889 24196 5
28595 4812 0
14767 28998 4
28874 25321 5
18586 28874 4
16340 28949 4
1739 28553 1
23003 28862 2
26512 28922 4
28913 26101 5
28851 15776 3
32084 16985 5
28921 23220 5
29295 23638 5
23714 12069 0
19089 391 0
32145 23319 5
29548 24946 5
28231 28874 4
28876 24779 5
21898 35256 4
32307 22421 5
28880 17293 5
29082 15864 5
27099 5642 0
28159 28868 2
30838 15049 5
18492 29922 4
29058 14914 5
29296 26154 5
24946 28930 4
29562 17263 5
11448 27004 1
31225 20452 5
19172 31283 4
26360 28871 4
26386 28930 4
23604 28903 4
28880 25385 5
27485 4355 0
28889 22146 5
17768 5306 0
28871 17810 5
28948 22421 5
28864 23844 3
22879 7282 0
29189 19932 5
21379 29487 4
22813 2894 0
28851 15989 3
17588 894 0
28852 16603 3
27795 29738 4
22407 12702 0
22178 28973 4
4306 23086 1
18815 4712 0
28865 24148 3
37433 28715 5
23152 29081 4
4055 25485 1
32079 26372 5
16619 28907 4
23831 8727 0
8175 19078 1
20597 28923 4
36127 18470 5
6184 17279 1
15613 28882 4
26317 4282 0
7226 18995 1
21675 548 0
27467 29133 4
28867 26444 3
16008 28913 4
